,position,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_name,league_name,club_contract_valid_until,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle
11,Defender,89,89,86000000.0,230000.0,29,193,92,Liverpool,English Premier League,2025.0,Netherlands,Right,3,2,4,Medium/Medium,78.0,60.0,71.0,72.0,91.0,84.0,53,52,87,79,45,70,60,70,86,76,66,88,61,87,53,81,90,69,92,64,83,90,47,65,62,90,92,92,86
12,Forward,89,89,101000000.0,270000.0,29,175,69,Liverpool,English Premier League,2023.0,Senegal,Right,4,4,4,High/Medium,91.0,83.0,80.0,89.0,44.0,77.0,78,86,84,84,75,90,77,64,71,88,93,90,93,91,88,83,87,85,72,80,75,35,90,84,71,84,42,42,38
13,Forward,89,89,101000000.0,270000.0,29,175,71,Liverpool,English Premier League,2023.0,Egypt,Left,3,4,4,High/Medium,90.0,87.0,81.0,90.0,45.0,75.0,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90,38,43,41
14,Midfielder,89,90,108000000.0,160000.0,26,177,75,FC Bayern München,German 1. Bundesliga,2025.0,Germany,Right,4,3,4,High/Medium,70.0,73.0,86.0,84.0,83.0,79.0,91,68,72,87,69,83,85,61,90,85,77,65,84,88,84,78,79,94,68,84,89,84,80,85,44,85,85,85,79
15,Defender,88,88,24000000.0,115000.0,35,184,82,Paris Saint-Germain,French Ligue 1,2023.0,Spain,Right,3,3,4,High/Medium,70.0,70.0,76.0,74.0,88.0,84.0,66,65,92,82,69,65,74,76,83,83,71,69,77,92,66,79,93,78,84,64,90,87,73,71,92,88,84,89,91
16,Forward,88,88,44500000.0,135000.0,34,182,83,Atlético de Madrid,Spain Primera Division,2022.0,Uruguay,Right,4,3,5,High/Medium,72.0,90.0,82.0,84.0,47.0,83.0,80,93,84,83,90,83,86,82,77,86,76,69,75,92,78,89,69,78,85,88,87,41,91,84,83,87,42,45,38
17,Midfielder,88,88,75000000.0,310000.0,31,183,76,Real Madrid CF,Spain Primera Division,2023.0,Germany,Right,5,3,4,Medium/Medium,53.0,81.0,91.0,81.0,71.0,68.0,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,90,73,88,71,73,60
18,Forward,88,88,93500000.0,260000.0,28,191,94,Chelsea,English Premier League,2026.0,Belgium,Left,4,3,4,Medium/Medium,84.0,87.0,74.0,78.0,39.0,83.0,73,92,89,77,78,83,78,66,70,77,81,87,60,91,52,89,76,71,95,74,71,27,89,75,88,86,30,41,30
19,Forward,88,89,107500000.0,290000.0,26,170,69,Manchester City,English Premier League,2023.0,England,Right,3,4,4,High/Medium,91.0,82.0,79.0,87.0,45.0,66.0,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78,47,53,47
20,Midfielder,88,89,107500000.0,250000.0,26,179,69,Manchester United,English Premier League,2025.0,Portugal,Right,3,4,3,High/High,75.0,86.0,89.0,84.0,70.0,77.0,87,83,64,91,87,83,87,87,88,87,77,73,80,91,79,89,73,91,70,89,78,66,87,90,91,87,72,73,65
21,Forward,88,93,137500000.0,110000.0,20,194,94,Borussia Dortmund,German 1. Bundesliga,2024.0,Norway,Left,3,3,4,High/High,89.0,91.0,65.0,80.0,45.0,88.0,47,94,69,77,88,78,77,62,51,85,82,94,75,88,72,94,74,82,93,87,85,43,89,71,76,84,44,43,30
22,Forward,87,87,51000000.0,260000.0,33,173,70,FC Barcelona,Spain Primera Division,2023.0,Argentina,Right,4,4,4,High/Medium,71.0,89.0,75.0,87.0,33.0,69.0,70,93,78,80,85,86,83,73,64,88,75,68,82,89,90,90,78,62,74,83,65,24,91,80,75,91,30,29,24
23,Midfielder,87,87,32000000.0,190000.0,35,172,66,Real Madrid CF,Spain Primera Division,2022.0,Croatia,Right,4,4,4,Medium/Medium,73.0,76.0,89.0,88.0,72.0,66.0,86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,82,92,70,75,71
24,Forward,87,87,49500000.0,160000.0,33,180,69,Paris Saint-Germain,French Ligue 1,2022.0,Argentina,Left,2,5,4,High/Medium,83.0,81.0,86.0,87.0,48.0,69.0,88,79,51,84,78,88,91,88,82,87,83,83,94,84,76,83,73,78,62,86,73,42,84,88,73,86,41,55,52
25,Midfielder,87,87,66000000.0,140000.0,31,185,76,FC Bayern München,German 1. Bundesliga,2023.0,Germany,Right,4,3,4,High/High,67.0,84.0,83.0,80.0,56.0,71.0,85,88,81,85,84,77,81,59,79,84,66,67,73,94,71,78,77,86,66,82,62,58,96,85,70,84,47,57,46
26,Forward,87,87,67500000.0,125000.0,31,185,85,Lazio,Italian Serie A,2025.0,Italy,Right,4,3,4,High/Medium,86.0,87.0,67.0,81.0,39.0,77.0,55,91,81,80,85,80,70,51,53,83,84,87,75,90,85,86,82,78,76,80,77,40,91,71,88,79,34,33,32
27,Midfielder,87,87,79500000.0,220000.0,28,191,84,Manchester United,English Premier League,2022.0,France,Right,4,5,4,High/Medium,71.0,81.0,86.0,86.0,65.0,83.0,77,75,74,88,84,88,85,82,92,90,63,77,73,83,67,90,82,77,89,84,78,65,80,89,81,88,59,67,63
28,Midfielder,87,87,79500000.0,155000.0,28,165,60,Paris Saint-Germain,French Ligue 1,2024.0,Italy,Right,4,4,3,Medium/High,64.0,61.0,87.0,91.0,79.0,67.0,82,60,57,90,64,91,85,64,89,92,68,60,91,87,94,60,67,76,54,58,89,85,78,89,64,94,78,82,84
29,Defender,87,90,90500000.0,135000.0,27,183,75,Paris Saint-Germain,French Ligue 1,2024.0,Brazil,Right,3,3,3,Medium/High,81.0,53.0,75.0,74.0,89.0,81.0,68,51,88,84,35,69,58,32,85,79,81,81,69,87,67,65,92,83,78,45,81,88,68,74,52,86,89,89,89
30,Midfielder,87,88,93000000.0,140000.0,26,189,82,FC Bayern München,German 1. Bundesliga,2026.0,Germany,Right,4,3,4,High/Medium,81.0,82.0,82.0,84.0,81.0,86.0,75,82,86,86,69,84,76,75,84,87,78,83,76,88,71,85,79,88,88,86,81,86,85,84,60,82,74,85,77
31,Forward,87,88,93000000.0,160000.0,27,177,75,Juventus,Italian Serie A,2022.0,Argentina,Left,3,4,3,Medium/Medium,84.0,86.0,86.0,90.0,40.0,60.0,82,85,59,87,88,90,90,88,79,93,88,80,92,80,94,84,75,70,61,89,43,42,82,91,84,79,32,41,39
32,Defender,87,88,83500000.0,175000.0,27,178,64,Liverpool,English Premier League,2026.0,Scotland,Left,2,3,3,High/High,84.0,61.0,81.0,81.0,82.0,76.0,88,55,67,82,32,81,82,71,76,83,83,85,78,85,74,76,62,95,65,65,85,83,77,80,55,83,83,84,81
33,Midfielder,87,92,119500000.0,210000.0,24,180,74,FC Barcelona,Spain Primera Division,2026.0,Netherlands,Right,3,4,3,High/Medium,81.0,69.0,85.0,88.0,77.0,78.0,78,72,72,91,70,88,84,64,87,89,80,82,88,88,79,68,76,90,74,66,75,82,77,86,45,90,76,76,77
34,Defender,87,92,114000000.0,150000.0,22,180,69,Liverpool,English Premier League,2025.0,England,Right,4,3,3,High/Medium,79.0,68.0,88.0,80.0,80.0,72.0,92,60,69,86,62,78,87,85,90,86,77,80,73,82,73,82,66,88,63,75,74,82,77,87,55,81,80,83,79
35,Midfielder,87,91,116500000.0,150000.0,21,180,76,Manchester United,English Premier League,2026.0,England,Right,3,5,3,High/Medium,81.0,76.0,82.0,91.0,36.0,65.0,82,83,38,87,83,92,84,65,70,90,85,78,91,85,90,73,51,77,68,65,44,39,83,87,62,86,32,39,32
36,Defender,87,91,102500000.0,170000.0,24,187,82,Manchester City,English Premier League,2027.0,Portugal,Right,4,2,3,Medium/High,61.0,38.0,65.0,68.0,88.0,88.0,54,29,87,81,32,64,46,48,74,74,57,65,59,87,56,74,78,88,88,22,92,85,39,51,45,81,90,89,85
37,Defender,86,86,12000000.0,88000.0,36,187,85,Juventus,Italian Serie A,2023.0,Italy,Left,3,2,4,Medium/High,68.0,46.0,60.0,59.0,89.0,85.0,63,33,77,65,45,57,60,31,67,57,67,69,53,80,57,78,91,71,91,49,88,89,28,50,50,83,93,89,88
38,Defender,86,86,44000000.0,95000.0,32,191,96,Borussia Dortmund,German 1. Bundesliga,2022.0,Germany,Right,3,3,4,High/High,56.0,59.0,77.0,73.0,89.0,77.0,65,57,88,82,61,69,66,53,86,79,47,64,61,88,62,71,70,66,86,49,71,89,57,80,68,89,90,90,86
39,Defender,86,86,47000000.0,200000.0,32,170,68,FC Barcelona,Spain Primera Division,2024.0,Spain,Left,3,3,3,High/Medium,86.0,69.0,81.0,83.0,77.0,71.0,85,73,70,85,60,81,80,63,79,85,87,86,90,80,85,64,80,87,61,66,75,81,83,78,59,80,74,78,80
40,Midfielder,86,86,65000000.0,180000.0,30,174,70,Liverpool,English Premier League,2024.0,Spain,Right,3,5,3,Medium/Medium,63.0,72.0,86.0,90.0,70.0,66.0,78,68,54,90,82,90,85,77,89,92,72,55,91,84,90,75,80,74,59,73,72,82,75,85,75,88,67,71,68
41,Midfielder,86,86,45000000.0,200000.0,32,189,76,FC Barcelona,Spain Primera Division,2023.0,Spain,Right,3,3,4,Medium/Medium,42.0,62.0,79.0,80.0,82.0,75.0,62,67,68,87,44,81,66,68,85,86,40,43,67,86,50,61,66,78,72,54,81,85,77,83,60,90,84,82,81
42,Midfielder,86,86,53500000.0,64000.0,32,182,74,Villarreal CF,Spain Primera Division,2024.0,Spain,Right,4,3,2,Medium/Medium,50.0,83.0,90.0,81.0,71.0,69.0,86,83,61,92,72,82,88,90,90,86,52,49,63,80,72,81,49,78,70,88,58,81,82,89,88,85,70,70,69
43,Forward,86,86,65500000.0,125000.0,30,163,59,Napoli,Italian Serie A,2022.0,Italy,Right,4,4,4,High/Medium,87.0,78.0,85.0,90.0,36.0,45.0,77,76,59,87,74,90,87,86,84,93,90,84,89,79,93,76,50,74,34,82,34,26,81,89,87,81,53,24,22
44,Defender,86,86,55500000.0,105000.0,30,187,89,Napoli,Italian Serie A,2023.0,Senegal,Right,3,2,3,Medium/High,81.0,28.0,51.0,65.0,87.0,85.0,30,22,84,63,14,69,28,28,63,64,74,87,51,83,34,55,82,70,94,15,83,85,35,52,33,82,90,88,86
45,Defender,86,88,68500000.0,180000.0,28,191,81,Manchester United,English Premier League,2025.0,France,Right,3,2,3,Medium/High,82.0,49.0,64.0,65.0,87.0,82.0,42,46,86,78,42,55,46,52,76,78,79,85,62,84,39,52,81,76,86,53,80,85,55,59,43,83,86,88,87
46,Forward,86,86,65500000.0,220000.0,30,179,67,Manchester City,English Premier League,2023.0,Algeria,Left,4,5,3,Medium/Medium,81.0,79.0,81.0,90.0,38.0,60.0,81,81,48,83,76,91,85,78,75,91,84,79,92,81,88,79,56,75,57,79,48,39,80,84,70,84,45,31,22
47,Forward,86,86,68000000.0,73000.0,29,180,77,Villarreal CF,Spain Primera Division,2027.0,Spain,Left,4,3,2,High/Medium,79.0,86.0,77.0,84.0,46.0,73.0,77,89,82,81,81,86,75,62,75,85,80,78,77,89,70,83,76,79,75,83,61,42,87,78,85,78,44,41,41
48,Forward,86,86,33000000.0,180000.0,34,179,74,Leicester City,English Premier League,2023.0,England,Right,4,3,3,High/Medium,85.0,84.0,70.0,80.0,52.0,73.0,69,90,79,74,84,78,68,60,60,82,85,85,76,91,76,87,80,76,66,67,87,49,92,76,85,88,45,52,54
49,Midfielder,86,88,73500000.0,165000.0,27,188,78,Liverpool,English Premier League,2026.0,Brazil,Right,2,3,3,Medium/High,67.0,69.0,78.0,78.0,85.0,83.0,75,63,75,84,47,78,71,53,82,81,65,68,64,86,64,81,75,88,81,70,85,87,70,75,90,84,86,87,85
50,Defender,86,87,71500000.0,185000.0,27,182,74,Manchester City,English Premier League,2025.0,Portugal,Right,4,4,3,High/Medium,85.0,71.0,83.0,84.0,80.0,72.0,86,68,72,85,62,85,84,69,78,85,86,84,80,85,78,80,72,90,62,75,73,80,80,83,46,85,79,82,80
51,Defender,86,89,77000000.0,185000.0,27,191,85,Manchester City,English Premier League,2024.0,Spain,Left,3,2,3,Medium/Medium,63.0,50.0,72.0,69.0,86.0,80.0,58,45,84,82,40,63,61,69,80,78,59,67,57,87,60,68,80,72,84,47,81,87,54,65,44,84,86,87,86
52,Midfielder,86,87,81000000.0,120000.0,25,180,76,FC Bayern München,German 1. Bundesliga,2023.0,France,Right,3,4,4,Medium/Medium,93.0,76.0,79.0,88.0,30.0,60.0,79,75,61,80,77,89,83,70,74,88,94,93,91,85,84,80,73,69,64,73,35,23,85,81,70,78,29,27,21
53,Midfielder,86,87,80000000.0,200000.0,26,173,64,Manchester City,English Premier League,2025.0,Portugal,Left,3,4,2,High/High,80.0,76.0,83.0,91.0,54.0,67.0,85,77,51,86,70,92,84,67,76,90,83,77,94,84,92,76,51,93,54,76,70,54,83,84,68,87,49,63,45
54,Midfielder,86,89,88000000.0,95000.0,26,184,74,Atlético de Madrid,Spain Primera Division,2027.0,Spain,Right,4,3,3,High/Medium,88.0,80.0,81.0,82.0,78.0,82.0,74,81,67,86,64,82,73,58,83,84,86,90,82,86,69,84,69,90,79,79,83,82,87,86,64,83,79,80,74
55,Midfielder,86,89,81000000.0,175000.0,25,191,82,Manchester City,English Premier League,2024.0,Spain,Right,4,3,3,Medium/High,61.0,70.0,77.0,78.0,82.0,82.0,63,64,78,85,59,78,65,54,83,82,60,62,65,80,65,83,72,87,82,76,76,83,75,81,46,83,83,84,78
56,Defender,86,88,74000000.0,150000.0,26,188,80,Inter,Italian Serie A,2023.0,Slovakia,Right,3,2,3,Medium/High,80.0,41.0,53.0,69.0,87.0,84.0,40,42,81,72,40,67,34,30,49,72,76,84,54,86,56,50,84,79,86,30,84,86,30,46,56,87,90,88,82
57,Midfielder,85,85,33500000.0,51000.0,33,167,68,Sevilla FC,Spain Primera Division,2024.0,Argentina,Right,4,4,3,High/Medium,87.0,78.0,84.0,87.0,39.0,55.0,83,77,38,85,72,85,85,79,80,86,91,83,93,86,93,79,70,75,44,82,56,40,80,86,72,85,50,30,34
58,Defender,85,85,9500000.0,105000.0,36,183,79,Chelsea,English Premier League,2022.0,Brazil,Right,3,2,4,Medium/High,53.0,54.0,72.0,72.0,86.0,78.0,60,40,81,80,61,67,62,61,80,79,52,54,67,82,66,71,88,68,82,65,76,88,59,71,60,86,87,86,84
59,Midfielder,85,85,22000000.0,44000.0,35,173,67,Real Sociedad,Spain Primera Division,2022.0,Spain,Left,2,4,4,High/Medium,63.0,74.0,87.0,87.0,52.0,53.0,83,72,53,90,82,86,82,77,83,90,70,57,84,85,89,72,61,66,45,73,56,50,86,90,75,91,58,53,29
60,Forward,85,85,26000000.0,190000.0,34,185,77,Manchester United,English Premier League,2022.0,Uruguay,Right,4,3,4,High/High,66.0,86.0,70.0,76.0,51.0,79.0,68,89,88,75,86,74,76,74,52,81,64,68,68,90,57,87,88,81,77,77,81,54,93,75,85,85,45,48,39
61,Forward,85,85,52000000.0,240000.0,30,175,74,Real Madrid CF,Spain Primera Division,2024.0,Belgium,Right,4,4,4,Medium/Medium,84.0,80.0,82.0,88.0,35.0,63.0,77,78,61,85,82,89,83,79,81,88,86,82,87,79,89,82,55,77,61,77,54,41,83,84,87,89,34,27,22
62,Defender,85,85,17500000.0,110000.0,34,190,85,Juventus,Italian Serie A,2024.0,Italy,Right,4,2,3,Medium/High,64.0,58.0,69.0,72.0,86.0,80.0,44,48,83,81,58,69,56,60,81,79,60,68,59,82,53,74,90,65,86,65,82,86,38,71,70,86,88,85,81
63,Midfielder,85,85,51500000.0,185000.0,30,180,80,Manchester City,English Premier League,2023.0,Germany,Right,4,4,3,High/Medium,65.0,80.0,85.0,86.0,73.0,72.0,78,80,50,88,75,86,86,80,85,89,66,65,77,86,77,79,61,74,73,81,70,78,82,86,80,87,76,75,67
64,Midfielder,85,85,43000000.0,95000.0,32,180,71,Borussia Dortmund,German 1. Bundesliga,2023.0,Germany,Right,4,4,4,High/Medium,73.0,84.0,84.0,85.0,47.0,63.0,85,84,44,85,85,85,88,85,79,86,76,71,83,86,82,86,68,67,66,83,51,49,85,86,76,85,52,38,54
65,Defender,85,85,39000000.0,170000.0,31,183,83,Manchester City,English Premier League,2024.0,England,Right,2,3,3,High/High,92.0,63.0,76.0,78.0,80.0,82.0,77,51,74,79,57,79,76,71,77,81,89,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75,77,84,83
66,Forward,85,85,43500000.0,145000.0,32,187,80,Arsenal,English Premier League,2023.0,Gabon,Right,4,4,3,Medium/Low,89.0,85.0,75.0,80.0,35.0,69.0,76,89,73,77,83,79,81,76,64,81,87,91,77,86,67,82,75,79,74,78,43,48,90,77,83,87,20,29,36
67,Midfielder,85,85,52500000.0,90000.0,29,176,75,Atlético de Madrid,Spain Primera Division,2024.0,Spain,Right,4,3,3,Medium/Medium,70.0,75.0,85.0,81.0,79.0,80.0,85,72,61,86,56,80,85,76,84,83,72,69,73,88,82,83,59,93,75,80,79,83,83,86,67,86,82,81,70
68,Forward,85,85,53000000.0,220000.0,30,176,73,Atlético de Madrid,Spain Primera Division,2022.0,France,Left,3,4,4,Medium/Medium,80.0,84.0,84.0,87.0,52.0,72.0,83,84,83,84,86,85,86,85,82,89,80,80,92,89,83,82,90,86,63,83,73,49,89,85,79,90,43,54,49
69,Defender,85,85,45000000.0,145000.0,29,189,78,Inter,Italian Serie A,2023.0,Netherlands,Right,3,2,3,Medium/High,72.0,41.0,64.0,70.0,87.0,79.0,49,25,84,75,27,66,45,16,71,75,69,74,61,85,59,65,79,80,79,60,77,87,31,70,41,85,89,87,85
70,Forward,85,85,54000000.0,185000.0,29,181,76,Liverpool,English Premier League,2023.0,Brazil,Right,4,5,3,High/High,77.0,78.0,79.0,89.0,59.0,78.0,73,78,78,84,83,89,81,65,76,90,77,77,85,86,86,79,81,87,74,76,75,58,82,83,72,88,55,64,42
71,Forward,85,86,63000000.0,220000.0,27,176,78,FC Barcelona,Spain Primera Division,2023.0,Netherlands,Right,3,5,3,High/Low,82.0,83.0,82.0,84.0,30.0,79.0,84,83,65,81,74,86,85,83,76,85,81,83,80,83,81,87,69,79,83,83,72,28,85,85,76,80,23,31,20
72,Defender,85,85,47500000.0,210000.0,29,173,73,Real Madrid CF,Spain Primera Division,2025.0,Spain,Right,3,3,3,High/Medium,80.0,54.0,78.0,80.0,81.0,80.0,82,51,72,83,49,78,76,47,74,83,79,80,79,83,81,68,77,89,74,47,84,81,75,74,45,81,82,82,84
73,Midfielder,85,85,52500000.0,170000.0,29,180,68,Chelsea,English Premier League,2023.0,Italy,Right,3,3,2,Medium/Medium,55.0,67.0,86.0,81.0,73.0,73.0,75,64,56,92,71,79,75,76,89,87,61,50,77,82,72,71,58,87,66,62,79,81,69,88,91,81,67,81,71
74,Midfielder,85,86,64500000.0,110000.0,25,176,77,FC Bayern München,German 1. Bundesliga,2023.0,Germany,Right,4,4,4,High/Medium,83.0,84.0,79.0,86.0,43.0,69.0,74,86,42,82,83,88,74,62,78,83,90,77,87,86,88,87,65,78,68,82,63,38,86,83,68,80,45,44,43
75,Midfielder,85,87,66000000.0,100000.0,26,191,76,Lazio,Italian Serie A,2024.0,Serbia,Right,5,4,3,High/Medium,68.0,79.0,80.0,81.0,79.0,86.0,64,80,86,85,74,84,80,78,85,86,66,70,62,83,63,83,85,91,87,80,79,78,79,82,56,84,78,79,74
76,Midfielder,85,88,66500000.0,120000.0,24,183,74,Leicester City,English Premier League,2024.0,Nigeria,Right,4,3,1,Medium/High,67.0,62.0,69.0,74.0,87.0,83.0,53,50,72,78,68,72,60,60,75,77,65,68,69,88,66,80,90,90,78,70,87,90,67,67,57,80,87,90,85
77,Forward,85,89,77500000.0,57000.0,24,181,79,Real Sociedad,Spain Primera Division,2024.0,Spain,Left,3,3,2,High/Medium,82.0,82.0,81.0,84.0,41.0,63.0,82,84,60,83,74,85,77,71,73,85,83,81,83,81,80,80,72,82,57,81,52,29,85,85,84,83,55,32,30
78,Forward,85,89,78000000.0,145000.0,23,174,72,Inter,Italian Serie A,2023.0,Argentina,Right,4,4,3,High/Medium,84.0,81.0,72.0,85.0,48.0,84.0,56,85,87,78,88,83,78,43,73,85,86,83,86,89,89,80,88,80,84,74,86,45,86,81,74,83,55,31,44
79,Midfielder,85,89,77500000.0,150000.0,23,186,70,Manchester United,English Premier League,2023.0,England,Right,3,5,3,High/Medium,90.0,84.0,79.0,84.0,43.0,77.0,80,83,68,80,73,86,83,76,71,84,86,93,84,84,75,92,74,86,75,81,73,42,83,81,84,80,45,38,33
80,Defender,85,88,69500000.0,100000.0,22,181,73,Paris Saint-Germain,French Ligue 1,2026.0,Morocco,Right,4,3,2,High/Medium,95.0,71.0,78.0,83.0,76.0,78.0,86,73,68,81,60,84,68,55,73,83,95,95,86,84,79,77,80,91,73,70,75,78,78,75,46,80,75,78,76
81,Defender,85,90,75000000.0,81000.0,21,189,89,Juventus,Italian Serie A,2024.0,Netherlands,Right,3,2,3,Medium/High,73.0,59.0,60.0,69.0,84.0,87.0,52,50,85,75,45,65,48,55,63,73,71,75,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,85,85
82,Forward,84,84,14500000.0,51000.0,39,195,95,AC Milan,Italian Serie A,2022.0,Sweden,Right,4,5,5,Medium/Low,65.0,87.0,78.0,79.0,34.0,77.0,72,86,83,80,88,78,80,75,73,86,64,66,71,83,53,88,79,52,87,88,84,20,89,84,83,90,28,37,24
83,Defender,84,84,13000000.0,30000.0,35,172,60,Sevilla FC,Spain Primera Division,2024.0,Spain,Right,2,4,2,High/Medium,87.0,69.0,81.0,83.0,79.0,58.0,85,65,73,83,75,84,82,46,79,83,90,84,82,84,84,74,63,82,39,70,75,80,81,83,56,82,82,77,79
84,Defender,84,84,13500000.0,175000.0,34,194,85,FC Barcelona,Spain Primera Division,2024.0,Spain,Right,3,2,4,High/Medium,58.0,61.0,71.0,68.0,85.0,78.0,57,65,84,80,57,63,58,43,80,80,50,64,57,85,35,62,74,63,86,51,79,85,64,72,69,87,86,85,83
85,Forward,84,84,20500000.0,105000.0,34,169,61,Napoli,Italian Serie A,2022.0,Belgium,Right,4,4,3,High/Low,85.0,82.0,80.0,88.0,34.0,50.0,73,84,40,84,70,88,82,82,72,88,90,80,93,80,92,80,58,66,37,81,59,36,82,84,79,81,23,40,40
86,Midfielder,84,84,40500000.0,115000.0,30,175,74,Paris Saint-Germain,French Ligue 1,2024.0,Netherlands,Right,4,4,3,High/High,77.0,75.0,80.0,86.0,79.0,79.0,72,75,78,87,73,85,78,73,81,88,78,76,84,86,88,78,81,93,74,73,75,80,79,79,74,86,79,80,70
87,Midfielder,84,84,29500000.0,140000.0,31,182,80,Liverpool,English Premier League,2025.0,England,Right,3,3,3,High/High,66.0,74.0,83.0,79.0,78.0,81.0,82,73,65,85,71,78,80,74,87,83,67,66,69,85,68,77,78,86,78,75,83,81,78,80,64,82,79,81,76
88,Midfielder,84,84,21000000.0,43000.0,33,183,76,Sevilla FC,Spain Primera Division,2022.0,Brazil,Right,3,3,2,Medium/Medium,66.0,62.0,75.0,74.0,83.0,82.0,62,54,74,84,56,71,65,53,79,78,65,67,70,83,62,76,76,82,81,68,85,85,59,76,54,78,84,85,83
